utt_id,word_errors,ref,hyp
hi_in_test_00000,1,"ऐसा माना जाता है कि पेरिस के निवासी अहंकारी, असभ्य और अभिमानी होते हैं।", ऐसा माना जाता है कि पेरिस के निवासी अहंकारी असभ्य और अभिमानी होते हैं<unk>
hi_in_test_00001,1,"कुछ अणुओं में अस्थिर केंद्रक होता है, जिसका मतलब यह है कि उनमें थोड़े या बिना किसी झटके से टूटने की प्रवृत्ति होती है,", कुछ अणुओं में अस्थिर केंद्रक होता है जिसका मतलब यह है कि उनमें थोड़े या बिना किसी झटके से टूटने की प्रवृत्ति होती है<unk>
hi_in_test_00002,3,"हालाँकि, शेंगेन ज़ोन इस मामले में कुछ हद तक एक देश की तरह काम करता है.", हालांकि शेंगेन जॉन इस मामले में कुछ हद तक एक देश की तरह काम करता है<unk>
hi_in_test_00003,2,"चुनिंदा रूट पर, बड़ी कंपनियों के खुद के विमान हैं, लेकिन अन्य रूट पर और छोटी फ़र्म के लिए यह एक समस्या है.", चुनिंदा रूट पर बड़ी कंपनियों के खुद के विमान हैं लेकिन अन्य रूट पर और छोटी फर्म के लिए यह एक समस्या है<unk>
hi_in_test_00004,3,ऐसी कोई वैश्विक परिभाषा नहीं है जिसके लिए निर्मित सामान एंटीक होते हैं. कुछ कर एजेंसियाँ 100 साल से पुराने सामान को एंटीक के तौर पर परिभाषित करती हैं., ऐसी कोई वैश्विक परिभाषा नहीं है जिसके लिए निर्मित सामान एंटीक होते हैं<unk> कुछ कर एजेंसियां 100 साल से पुराने सामान को एंटीक के तौर पर परिभाषित करती हैं<unk>
hi_in_test_00005,2,"ऐसा माना जाता है कि पेरिस के निवासी अहंकारी, असभ्य और अभिमानी होते हैं।"," ऐसा माना जाता है कि पैरिस के निवासी अहंकारी, असभ्य और अभिमानी होते हैं<unk>"
hi_in_test_00006,3,मध्यपूर्व की गर्म जलवायु में घर उतना ज़रूरी नहीं था., मध्य पूर्व की गर्म जलवायु में घर उतना ज़रूरी नहीं था<unk>
hi_in_test_00007,3,ऐसी संस्कृति को सभ्यता कहते हैं जो लोगों के एक बड़े समूह में साझा की जाती है. यहाँ लोग आपसी सहयोग करते हुए समाज में रहते हैं और मिलकर काम करते हैं., ऐसी संस्कृति को सभ्यता कहते हैं जो लोगों के एक बड़े समूह में साझा की जाती है<unk> यहां लोग आपसी सहयोग करते हुए समाज में रहते हैं और मिलकर काम करते हैं<unk>
hi_in_test_00008,5,वाइल्ड कार्ड खरीद लेना फ़ायदेमंद भी हो सकता है क्योंकि इससे आप दक्षिण अफ़्रीका के चुनिंदा पार्क या सभी दक्षिण अफ़्रीकी नेशनल पार्क देख सकते हैं., वाइल्डकार्ड खरीद लेना फ़ायदेमंद भी हो सकता है क्योंकि इससे आप दक्षिण अफ्रीका के चुनिंदा पार्क या सभी दक्षिण अफ्रीकी नेशनल पार्क देख सकते हैं<unk>
hi_in_test_00009,9,"अस्पताल ने संक्रमण नियंत्रण के लिए नियमों का पालन किया है, इन नियमों में दूसरों के संभावित संक्रमण को रोकने के लिए रोगी को दूसरों से अलग करना शामिल है।", अस्पताल से संक्रमण नियंत्रण करने के लिए नियमों का पालन किया जाता है<unk> इन नियमों में दूसरों से संभावित संक्रमण को रोकने के लिए रोगी से दूर अलग करना शामिल है<unk>
