utt_id,word_errors,ref,hyp
mr_in_test_00000,3,सेंट पीटर्सबर्ग क्रुझमध्ये शहरात वेळ घालवण्यास परवानगी आहे. क्रुझच्या प्रवाशांना व्हिसा आवश्यक असण्यामधून वगळण्यात आले आहे (अटी वाचा)., सेंट पीटर्सबर्ग क्रूझमध्ये शहरात वेळ घालवण्यास परवानगी आहे. क्रूझच्या प्रवाशांना वीज आवश्यक असण्यामधून वगळण्यात आले आहे. अटी वाचा.
mr_in_test_00001,0,"या परंपरेसाठी अर्थातच ख्रिश्चन धर्मशास्त्रामध्ये स्पष्टीकरणे आहेत, परंतु हा एक ख्रिस्तपूर्व काळातील आरंभाचा किंवा प्रजनन विधी असावा."," या परंपरेसाठी अर्थातच ख्रिश्चन धर्मशास्त्रामध्ये स्पष्टीकरणे आहेत, परंतु हा एक ख्रिस्तपूर्व काळातील आरंभाचा किंवा प्रजनन विधी असावा."
mr_in_test_00002,2,पर्यटकांना पूर्वीच्या इमारती मूळ रूपात कशा दिसत असतील याची चांगल्याप्रकारे कल्पना यावी याकरिता बहुतांश इमारती पुन्हा निर्माण करण्यात आल्या आहेत., पर्यटकांना पूर्वीच्या इमारती मूळ रूपात कशा दिसत असतील याची चांगल्या प्रकारे कल्पना यावी याकरिता बहुतांश इमारती पुन्हा निर्माण करण्यात आल्या आहेत.
mr_in_test_00003,2,"बुधवारच्या कार्यक्रमाच्या पलीकडे, कार्पेनेडोने चॅम्पियनशिपमध्ये 2 वैयक्तिक शर्यतीत भाग घेतला.", बुधवारच्या कार्यक्रमाच्या पलीकडे कारपेनेडॉन चॅम्पियनशिपमध्ये दोन वैयक्तिक शर्यतीत भाग घेतला.
mr_in_test_00004,2,एरोस्मिथनी प्रवासातील उरलेल्या कोन्सर्ट रद्द केल्या आहेत., ॲरोस्मिथनी प्रवासातील उरलेल्या कॉन्सर्ट रद्द केल्या आहेत.
mr_in_test_00005,3,सुंदरबन ल जगतील वारसा स्थळ म्हणून यूनेस्को ने जाहीर केले आहे. जंगलाचा भारतातील भाग हा सुंदरबन राष्ट्रीय उद्यान म्हणून ओळखला जातो., सुंदरबन ल जगातील वारसा स्थळ म्हणून युनेस्कोने जाहीर केले आहे. जंगलाचा भारतातील भाग हा सुंदरबन राष्ट्रीय उद्यान म्हणून ओळखला जातो.
mr_in_test_00006,1,वयोवृद्ध महिलेला प्रसाधनगृहात जायचे असल्याने फोटोग्राफरनी तिची जागा घेतली. मेंडोझाला गोळी घालण्यात आली होती., वयोवृद्ध महिलेला प्रसाधनगृहात जायचे असल्याने फोटोग्राफरनी तिची जागा घेतली. मेंडोजाला गोळी घालण्यात आली होती.
mr_in_test_00007,3,एरोस्मिथनी प्रवासातील उरलेल्या कोन्सर्ट रद्द केल्या आहेत.," ""Aeroस्मिथनी प्रवासातील उरलेल्या कॉन्सर्ट रद्द केलेल्या आहेत."""
mr_in_test_00008,0,"सभ्यता ही एकल संस्कृती आहे जी लोक समाजात एकत्र राहतात आणि सहकार्याने काम करतात, अशा लोकांच्या मोठ्या समुदायाने सामायिक केलेली असते.", सभ्यता ही एकल संस्कृती आहे जी लोक समाजात एकत्र राहतात आणि सहकार्याने काम करतात अशा लोकांच्या मोठ्या समुदायाने सामायिक केलेली असते.
mr_in_test_00009,2,चीनच्या आर्थिक आउटपुटवर आधारित ते ठरवले जाईल असे म्हणून त्यांनी कटसाठी कोणतीही संख्या ठरवली नाही., चीनच्या आर्थिक आउटपुटवर आधारित ते ठरवले जाईल असे म्हणून त्यांनी कट साठी कोणतीही संख्या ठरवली नाही.
mr_in_test_00010,2,"जे कोणी उंच भागात किंवा पर्वतांवरील रस्त्यावरून गाडी चालवणार आहेत, त्यांनी हिम, बर्फ किंवा गोठणबिंदूखालील तापमानाची शक्यता विचारात घ्यावी."," जे कोणी उंच भागात किंवा पर्वतांवरील रस्त्यावरून गाडी चालवणार आहेत त्यांनी हिम, बर्फ किंवा गोठणबिंदू खालील तापमानाची शक्यता विचारात घ्यावी."
